Platform,Year,Total_Sales
2600,1980,11.379999999999999
2600,1981,35.68
2600,1982,28.880000000000003
2600,1983,5.84
NES,1983,10.96
NES,1984,50.08
2600,1984,0.27
DS,1985,0.02
2600,1985,0.44999999999999996
NES,1985,53.440000000000005
PC,1985,0.04
2600,1986,0.67
NES,1986,36.41
2600,1987,1.94
NES,1987,19.759999999999998
PC,1988,0.03
GB,1988,1.43
2600,1988,0.74
NES,1988,45.010000000000005
NES,1989,7.85
GB,1989,64.97
2600,1989,0.6300000000000001
NES,1990,15.729999999999999
SNES,1990,26.150000000000002
GEN,1990,2.6
GB,1990,4.89
GEN,1991,4.33
NES,1991,6.109999999999999
SNES,1991,16.220000000000002
GB,1991,5.57
PC,1992,3.0100000000000002
NES,1992,1.9800000000000002
SNES,1992,32.98
GEN,1992,12.64
GG,1992,0.04
GB,1992,25.49
SNES,1993,40.02
NES,1993,3.61
NG,1993,0.21000000000000002
GEN,1993,0.65
SCD,1993,1.5
GB,1994,12.18
GEN,1994,8.129999999999999
SCD,1994,0.36000000000000004
PS,1994,6.03
3DO,1994,0.02
SNES,1994,35.08
PC,1994,12.86
NES,1994,0.11
NG,1994,0.8
SAT,1994,3.65
3DO,1995,0.08
TG16,1995,0.16
GB,1995,3.5999999999999996
PC,1995,4.21
SNES,1995,32.199999999999996
PS,1995,35.96
SAT,1995,11.57
NG,1995,0.33
NG,1996,0.1
N64,1996,34.1
PC,1996,10.58
SNES,1996,15.92
PCFX,1996,0.03
SAT,1996,7.69
PS,1996,94.7
GB,1996,36.03
N64,1997,39.5
PC,1997,11.27
GB,1997,6.37
PS,1997,136.17000000000002
SAT,1997,6.7700000000000005
SNES,1997,0.99
SNES,1998,0.22000000000000003
DC,1998,3.3800000000000003
N64,1998,49.24
GB,1998,26.9
SAT,1998,3.82
PC,1998,3.2800000000000002
PS,1998,169.49
GB,1999,38.0
DC,1999,5.16
SAT,1999,0.09
SNES,1999,0.26
PS,1999,144.53
PC,1999,4.75
WS,1999,0.46
N64,1999,57.87
WS,2000,0.68
DC,2000,5.99
XB,2000,0.99
GBA,2000,0.07
N64,2000,33.97
PS2,2000,39.17
PS,2000,96.35
PC,2000,4.6499999999999995
GB,2000,19.76
PS,2001,35.59
PC,2001,5.5
WS,2001,0.28
PS2,2001,166.43
XB,2001,22.26
N64,2001,3.25
DC,2001,1.07
GB,2001,9.24
GBA,2001,61.53
GC,2001,26.34
N64,2002,0.08
DC,2002,0.29
PC,2002,8.57
PS2,2002,205.38
GC,2002,51.81
PS,2002,6.67
GBA,2002,74.16
XB,2002,48.010000000000005
PS,2003,2.0700000000000003
GC,2003,50.61
GBA,2003,56.67
XB,2003,55.040000000000006
PS2,2003,184.31
PC,2003,8.91
DS,2004,17.41
PSP,2004,7.090000000000001
PS2,2004,211.81
XB,2004,65.42
GBA,2004,77.91
GC,2004,28.82
PC,2004,10.39
GC,2005,27.62
PS2,2005,160.66
PC,2005,4.4
XB,2005,49.080000000000005
DS,2005,131.3
GBA,2005,33.86
PSP,2005,44.18
X360,2005,8.31
Wii,2006,137.85
DS,2006,121.0
XB,2006,10.040000000000001
PSP,2006,55.76
GC,2006,11.26
X360,2006,51.94
GBA,2006,5.28
PC,2006,2.91
PS2,2006,103.42
PS3,2006,21.06
PS2,2007,75.99
GC,2007,0.27
Wii,2007,154.77
DC,2007,0.02
PC,2007,9.35
PSP,2007,47.410000000000004
X360,2007,95.79
DS,2007,149.02
PS3,2007,73.87
XB,2007,0.55
GBA,2007,3.4
PS3,2008,119.8
PSP,2008,34.69
X360,2008,135.66
DS,2008,147.62
XB,2008,0.18000000000000002
PC,2008,12.53
DC,2008,0.04
PS2,2008,53.9
Wii,2008,174.07
Wii,2009,210.26
DS,2009,121.87
X360,2009,120.92
PSP,2009,38.17
PC,2009,17.13
PS3,2009,132.35
PS2,2009,26.4
PC,2010,24.419999999999998
X360,2010,170.95
PS2,2010,5.64
PSP,2010,35.17
DS,2010,88.02
PS3,2010,144.38
Wii,2010,131.78
3DS,2011,62.58
PS2,2011,0.45
DS,2011,27.810000000000002
Wii,2011,62.32
PSP,2011,17.93
PC,2011,35.19
X360,2011,145.08
PSV,2011,5.2
PS3,2011,159.37
WiiU,2012,17.79
PC,2012,23.5
X360,2012,100.82000000000001
Wii,2012,22.78
3DS,2012,51.10000000000001
PSV,2012,18.59
PSP,2012,7.71
PS3,2012,109.41
DS,2012,11.6
PS3,2013,117.42
X360,2013,89.56
PSV,2013,12.63
PC,2013,12.799999999999999
WiiU,2013,21.810000000000002
Wii,2013,9.38
DS,2013,1.96
XOne,2013,18.61
PS4,2013,24.759999999999998
3DS,2013,55.86
PSP,2013,3.19
PS4,2014,98.83
X360,2014,36.43
XOne,2014,52.44
3DS,2014,43.12
PSV,2014,14.75
PC,2014,13.33
WiiU,2014,22.54
PS3,2014,50.97
Wii,2014,4.43
DS,2014,0.02
PSP,2014,0.24
XOne,2015,57.67
PC,2015,8.03
PS4,2015,115.24
PSV,2015,7.07
PS3,2015,18.21
Wii,2015,1.56
3DS,2015,26.97
X360,2015,13.02
PSP,2015,0.12
WiiU,2015,16.37
PC,2016,2.6
WiiU,2016,3.28
PSV,2016,3.38
PS4,2016,39.3
PS3,2016,2.55
3DS,2016,6.550000000000001
X360,2016,0.83
XOne,2016,12.379999999999999
PSV,2017,0.02
PS4,2017,0.03
DS,2020,0.29000000000000004
